genome_length,gc_content,orf_count,resistance_gene_count,virulence_factor_count,crispr_present,label
5371163,47.51671053791845,5685,3,7,0,High
3484942,49.55530811005956,3618,0,0,1,Low
2826436,42.17031576893609,2952,0,0,1,Low
4122016,34.78103723504483,4379,1,0,0,Low
4458203,54.8381343092295,4703,2,2,1,High
4409489,50.517974793241926,4608,2,4,0,High
2977595,36.20186046374399,3113,0,0,1,Low
4777059,60.171938101405026,4985,0,6,0,High
4153220,52.93655018845318,4372,1,4,1,High
4815239,46.0322554141145,5018,5,6,0,High
4622344,54.44097750241898,4867,4,9,1,High
3056253,45.37525019805954,3186,0,2,1,Low
4570931,50.56913127092302,4820,1,1,0,High
4890558,48.656951459916364,5145,2,6,1,High
3727546,43.09544894387303,3966,2,1,1,Low
3078369,47.18854262620781,3264,0,0,1,Low
4360474,49.8402621618446,4632,5,5,1,High
4870443,44.92624253774859,5114,4,5,0,High
4330629,45.25742246048237,4538,1,0,0,Low
4640496,51.926732562228594,4847,1,1,0,High
3956792,43.18092629591793,4159,0,0,0,Low
4864532,50.04407405028337,5090,4,3,1,High
2718727,44.82568393592223,2898,2,0,0,Low
3653532,47.21158256386657,3865,1,0,1,Low
3687218,48.21088728854705,3869,0,0,1,Low
4386204,52.3445755321855,4626,4,5,0,High
2433433,47.78079990048834,2525,1,0,1,Low
3319763,51.068493005579725,3468,0,1,0,Low
2858530,42.46877417038043,2980,0,0,1,Low
5454736,49.727430680662664,5702,3,7,1,High
2717164,55.786529911558034,2817,1,0,1,Low
4322438,53.69439626237384,4593,2,8,1,High
3694943,43.3657812941142,3864,0,0,1,Low
3097314,51.578654037364025,3220,2,0,1,Low
4136031,56.33271438822503,4337,4,1,1,High
3168643,35.82195679356251,3353,1,0,1,Low
4561498,54.665801266853556,4820,1,2,1,High
5093346,50.1003853735099,5356,4,1,0,High
4700630,53.2006223399829,4995,3,1,0,High
4053540,47.27771301627841,4293,0,0,1,Low
3475311,46.18221327058843,3658,0,1,1,Low
5221707,53.98085181249645,5454,7,1,0,High
2557399,46.22239533894671,2734,0,0,0,Low
3321448,52.766300507875066,3507,0,1,1,Low
4841561,50.13158637283689,5113,3,3,1,High
4239788,51.56024913851927,4478,2,6,1,High
3561602,51.308912256242806,3723,1,0,0,Low
3553089,45.182686925632,3788,1,0,1,Low
2747639,52.560335782137614,2887,0,0,0,Low
3648960,49.73239436831976,3854,0,0,1,Low
3688675,46.917061266410194,3919,0,0,1,Low
3597687,53.954764988967156,3747,0,0,0,Low
3145796,38.91771364432304,3272,0,0,1,Low
4025975,42.12626852335638,4233,2,0,1,Low
4306110,53.38103589519319,4563,0,0,1,Low
4066017,61.19458908334022,4231,1,0,1,Low
2954800,56.465594278477624,3132,0,0,1,Low
3690769,51.81957795493098,3874,0,1,1,Low
4958471,59.6037424519783,5186,2,5,0,High
3540531,43.17005603441827,3742,1,0,1,Low
4732845,55.24323309263913,4995,4,4,1,High
4913826,43.53632001811603,5169,1,4,0,High
3486797,49.68096695291764,3678,1,0,0,Low
2616351,39.29416042535347,2745,0,0,1,Low
5148477,50.66472204097596,5454,6,3,0,High
3283370,54.11954747758185,3426,1,0,1,Low
3810350,54.991641024470134,3987,3,7,0,High
5061880,53.08568597520377,5369,3,1,1,High
3319177,59.80739365756881,3494,0,2,0,Low
3913483,57.04768600285597,4116,3,8,1,High
4107676,55.85235599285213,4368,2,2,1,High
5919871,53.84028242538975,6216,7,2,0,High
4479259,53.72769017869576,4739,6,2,0,High
3553393,47.191388525309286,3729,1,1,0,Low
3263270,51.769841552827,3440,0,0,1,Low
3115428,42.36058139334681,3293,2,1,1,Low
3296768,39.702798136474655,3493,1,0,1,Low
3175543,49.13455496303431,3315,1,0,1,Low
2996408,49.006354932307325,3201,2,0,1,Low
4471544,45.84652000412758,4720,1,8,1,High
4034804,49.137768739832715,4252,0,2,1,Low
4932681,49.668965369553675,5224,4,7,0,High
2287392,47.81897000022519,2455,1,0,1,Low
4117560,46.07944811433366,4339,1,0,1,Low
3824068,52.535129758559634,4010,0,0,1,Low
5337587,46.52518182576133,5611,4,2,0,High
2958816,52.73129170990381,3080,2,1,1,Low
5257010,48.206220508975456,5535,2,4,1,High
2737647,39.87864086319364,2855,0,0,1,Low
3719219,53.02229461484948,3960,1,4,1,High
3032824,44.00256765445064,3239,0,1,1,Low
3412072,57.96882099436811,3590,0,2,1,Low
4235160,49.95259055121779,4464,0,0,1,Low
3696634,56.47796853376098,3935,0,0,1,Low
3094571,40.4545328465123,3252,1,0,1,Low
3082428,60.53723233016864,3254,0,1,0,Low
4853847,53.64714516418347,5128,5,6,0,High
3485282,61.6699981749698,3706,0,1,0,Low
4547171,49.70965334461472,4764,0,0,1,High
5012943,52.076591109663006,5299,4,5,0,High
5247288,43.533344956412,5485,2,4,0,High
5247938,39.21956424943987,5567,0,0,0,Low
4850260,54.35092660991977,5129,4,4,0,High
5020710,48.540197393476696,5259,4,3,1,High
5505525,50.37835996954489,5812,3,3,0,High
3445511,54.203779538994134,3668,0,1,1,Low
4323910,53.69062026200641,4554,4,2,0,High
3066789,51.873692845018425,3228,0,0,1,Low
3203102,42.20545550636244,3378,1,0,1,Low
4097054,42.11300681316191,4361,1,0,1,Low
4501244,57.68947944679403,4755,3,5,0,High
4337751,53.32066736477187,4538,5,2,1,High
3291110,53.65342890898417,3483,0,0,0,Low
4029103,53.62536073322859,4205,0,1,1,Low
3897070,46.67847239102347,4129,0,0,0,Low
4769855,53.81918067856952,5043,5,6,0,High
5327064,57.974331077235476,5568,3,6,0,High
2985314,39.88397828493879,3150,1,0,1,Low
3377075,44.314580288707816,3536,1,0,1,Low
4058699,56.69099537935756,4241,0,0,1,Low
3246462,37.989290688533714,3372,1,0,0,Low
3521937,50.27199740550847,3705,0,0,0,Low
3085742,44.023293127233806,3271,0,0,0,Low
3642844,41.5996733470427,3803,0,1,1,Low
4249291,55.486541004457294,4500,0,0,1,Low
4474335,44.648911547436676,4660,0,0,0,Low
5075738,53.36235686560199,5340,4,0,0,High
3878952,56.75464294381187,4059,1,0,1,Low
3612653,45.782838426999845,3824,1,0,1,Low
4482670,51.23868155395174,4763,1,0,1,Low
4762936,51.031403096704274,4995,0,3,0,High
3703938,50.71518861815691,3912,2,0,1,Low
3303195,56.818793557663724,3486,0,0,1,Low
3651909,52.329375030756864,3853,1,0,0,Low
6430245,51.78841597833598,6809,3,5,0,High
3253438,56.66179202081288,3378,1,0,0,Low
5204446,54.18585505659065,5482,2,5,1,High
3780701,51.63856808214043,4013,1,0,0,Low
4954130,43.37359721346885,5208,5,4,0,High
3556052,58.467835039552085,3724,0,0,0,Low
4445210,46.96598035729866,4647,1,3,0,High
3724344,57.33629663686234,3936,1,0,1,Low
3065853,51.20777451673461,3210,0,0,1,Low
3566575,49.808523093100604,3720,0,1,1,Low
3929225,46.592276580255515,4147,0,0,1,Low
4777149,48.94003220497549,5043,4,8,0,High
3337044,47.93709013886397,3509,0,0,0,Low
3486681,44.470581242473905,3676,0,0,1,Low
5193270,40.34531023182011,5419,3,3,1,High
3948533,55.649250247672335,4154,1,0,1,Low
3118437,49.49357457189996,3304,0,0,1,Low
3852253,52.734340124253116,4068,1,0,1,Low
5589018,47.595438848089714,5843,2,7,0,High
3184843,41.951667137328315,3377,0,0,1,Low
4989640,58.436296689893126,5297,3,6,0,High
2993342,52.20711795642224,3178,0,0,1,Low
4974945,51.888577778490664,5244,4,7,0,High
3280260,57.79712512363975,3439,1,0,1,Low
3878394,51.674812764081615,4066,2,0,1,Low
4107398,44.4145881853982,4307,0,0,1,Low
2984132,54.68016303566363,3093,0,0,0,Low
3624654,54.27053084450852,3838,0,1,1,Low
4325773,59.24350452618021,4565,1,0,1,Low
4059228,51.29589386734937,4239,1,0,1,Low
3601027,51.9143322974614,3793,0,0,1,Low
3702050,41.868155337655224,3931,0,0,1,Low
3818685,47.598704769257175,4027,0,0,0,Low
3707432,50.77973118070864,3928,1,0,1,Low
3722309,54.24545610183668,3910,0,0,0,Low
3463026,45.29004314304226,3610,0,0,1,Low
3520861,63.375165955995094,3728,2,0,1,Low
4944326,52.299105071687876,5247,2,3,1,High
4217233,49.54278391451173,4438,0,0,1,Low
2648893,45.22310588196294,2797,1,0,0,Low
4092512,46.8004228828147,4318,5,4,1,High
3591917,64.15820198388298,3791,0,0,0,Low
4956524,51.84936022589824,5205,3,5,0,High
3508274,45.88766635372838,3679,0,0,1,Low
5275724,50.53397191852779,5597,4,4,0,High
3060864,53.771739717332274,3173,0,1,1,Low
3225865,53.00000347068185,3443,2,0,1,Low
4647597,54.95566188417473,4918,4,6,0,High
3692830,38.00829199720529,3927,0,0,0,Low
3031746,43.99332266118668,3229,0,1,1,Low
5486058,54.428981814733625,5775,6,3,1,High
3174583,48.011075731386036,3344,0,0,1,Low
5124614,55.029573875909556,5386,3,5,0,High
3639309,39.43599846290721,3833,3,0,1,Low
3192385,38.15248078584082,3392,0,0,0,Low
4349747,54.46802023624486,4564,0,0,1,Low
4355379,55.82120223295101,4534,2,6,0,High
3509577,49.37820448300713,3659,2,0,0,Low
4359889,46.958742834625625,4562,3,3,0,High
4325541,58.98945279166223,4551,6,2,0,High
4771730,46.79104316393471,5058,3,5,0,High
4454709,52.859335929966704,4713,1,0,0,Low
4888609,48.351783591384375,5186,3,3,1,High
3646494,50.265687037973635,3881,1,0,1,Low
3467012,50.70393333200793,3674,0,0,0,Low
2961751,49.327716730383194,3146,2,0,1,Low
3208200,54.2302731061159,3404,0,0,1,Low
4155117,53.06794794211061,4380,4,1,1,High
3245096,48.206646070235045,3428,0,0,0,Low
3769364,46.73234846909812,3979,1,0,1,Low
4506734,52.89686561716317,4750,6,2,0,High
3048286,43.75039356358192,3173,0,0,0,Low
2900070,46.24646870733696,3044,1,0,1,Low
3947024,45.01973505641755,4160,0,0,1,Low
3364089,44.401026740742616,3588,0,0,1,Low
4917012,51.005885527702205,5191,5,5,0,High
5301208,56.33890456869978,5606,2,4,1,High
4836717,50.654485347558385,5065,4,4,0,High
5271423,56.441395919657175,5582,2,2,0,High
5045603,50.567882481012056,5350,2,2,0,High
4454312,56.180538193537075,4683,4,3,0,High
3408168,42.99141966364563,3572,0,0,1,Low
3807269,49.55990809000657,4056,2,3,0,High
2771196,49.62622680457275,2895,0,0,1,Low
3096818,39.9264995993702,3308,0,0,0,Low
4039556,44.526593805981406,4237,0,1,1,Low
3652531,43.19419441862412,3798,2,0,0,Low
3109900,55.98344942423424,3317,1,0,1,Low
5246476,59.31848080686435,5559,4,4,1,High
5534791,53.18170914625954,5846,0,4,0,High
3950199,50.70735191591105,4173,0,0,1,Low
4296865,50.62409571426482,4494,0,5,1,High
3171425,50.05410707417764,3360,1,0,1,Low
2964573,59.46851452283834,3100,0,0,0,Low
5427986,50.323352232664114,5684,2,4,1,High
3001162,54.21988097651553,3197,0,0,1,Low
3686884,54.611740184384544,3845,0,0,1,Low
4093367,56.61801243423587,4273,0,0,1,Low
4901144,51.03518900079942,5200,6,2,0,High
3512428,46.197270787093494,3671,2,0,0,Low
3229873,39.92500929274547,3387,0,0,0,Low
5509265,42.04876537385968,5839,6,4,0,High
2711148,50.826862498572545,2815,1,1,1,Low
3270225,37.571330162727676,3433,1,0,0,Low
3009177,41.64887969974464,3155,0,0,1,Low
4424648,51.820958769551304,4678,1,6,1,High
3098922,56.19692776964189,3223,1,0,1,Low
3312909,47.06660583286899,3511,1,0,1,Low
4204900,56.34942730286386,4410,4,3,0,High
2923333,37.875933917335736,3073,0,1,1,Low
2367742,42.38899902094029,2522,0,0,1,Low
4761278,47.21882494560302,4961,4,3,0,High
3115344,46.43202564329119,3271,0,0,0,Low
3397852,52.823515985284324,3584,0,0,0,Low
3744247,62.16966866402814,3920,0,0,1,Low
4635724,45.573615460896235,4915,2,1,1,Low
4270836,38.52351006304164,4474,1,0,1,Low
4189581,47.499719133369204,4392,1,1,1,Low
4094945,38.39757862945278,4266,0,0,0,Low
4153687,49.87132574749124,4337,1,9,0,High
4651101,47.293185941870135,4913,0,1,1,High
3570491,57.53176156826157,3736,0,0,0,Low
3715560,44.18825037188346,3898,0,0,1,Low
2311783,45.96785196046875,2427,1,0,0,Low
3600119,48.0496756460006,3809,0,0,0,Low
4551836,51.57838241470592,4829,0,1,0,Low
5192495,56.46510265502046,5473,1,4,0,High
4076795,56.31809638357706,4324,0,0,1,Low
3764508,48.34172664152939,3931,0,0,0,Low
3810373,54.241131388756514,4036,0,0,1,Low
4090320,44.23611932429218,4319,1,1,0,Low
3201288,54.46741043671995,3370,1,0,1,Low
4879858,50.535033210087285,5171,3,5,0,High
4509108,47.30448014236411,4742,4,4,0,High
4102337,44.25540772604574,4324,0,0,1,Low
5143532,57.86616343711441,5401,2,4,0,High
3160569,46.131891439343846,3294,0,0,0,Low
2405039,55.16755332308239,2578,0,1,0,Low
5426544,53.56668246246109,5667,5,2,0,High
3780118,43.13769783345009,4001,1,0,0,Low
3999211,46.14507713186092,4173,0,0,0,Low
3446322,53.996514196067466,3589,0,0,1,Low
3083181,52.04669641442201,3203,0,0,1,Low
2593383,41.64833645682481,2738,1,0,1,Low
3517013,48.668235611040316,3740,1,0,1,Low
3299196,47.072766034620784,3491,0,1,1,Low
3312597,45.29627229555063,3495,0,0,1,Low
3798220,44.194284913863584,4002,1,0,1,Low
4118862,56.27341019907882,4335,0,0,1,Low
3995119,44.478205877446065,4179,1,1,1,Low
4602836,51.39258655309403,4845,3,1,0,High
5396367,46.96852737636445,5656,5,5,0,High
4769223,51.83124119815786,5030,4,8,1,High
3680707,51.64937337184387,3902,0,0,1,Low
3954810,45.73853805354091,4188,0,0,1,Low
3237716,56.113216073202864,3358,0,0,1,Low
3594423,37.95488580711658,3763,0,0,1,Low
3164462,47.22452845228489,3369,0,0,1,Low
2680985,37.28174720787188,2788,1,1,1,Low
4109855,52.776556235991414,4326,0,1,0,Low
3314708,39.911717328358996,3502,0,0,1,Low
3775697,52.21615430891259,3927,2,0,1,Low
2883251,39.06217547138334,3054,1,0,0,Low
3881334,43.11126234017731,4088,0,0,0,Low
4452216,44.367642456434766,4733,0,1,0,Low
3494917,49.77818663552782,3679,2,0,1,Low
4927716,45.133832447254186,5207,4,4,0,High
2614465,50.82925428250923,2785,0,0,1,Low
4931964,58.76640866150965,5141,8,2,1,High
4397637,52.34031612791996,4643,4,0,0,High
4629206,52.006937426969806,4879,9,5,0,High
2867750,37.24136128479254,3011,0,0,1,Low
5250775,56.24059082081064,5547,4,7,0,High
5390945,53.923632370995584,5723,1,3,0,High
3282759,38.90573796959254,3466,2,1,1,Low
4725029,46.267392741901155,5019,2,3,1,High
4380339,57.417764291137104,4655,1,3,1,High
3314071,43.62923026991794,3458,1,1,1,Low
3287703,46.67692149205398,3423,2,0,0,Low
4990622,51.45629084057693,5294,3,5,0,High
3282612,50.77479183481591,3460,1,0,1,Low
4075564,46.685809113885135,4246,0,0,1,Low
3216716,48.33032773192177,3351,1,0,0,Low
3129008,55.74981136056268,3332,1,0,1,Low
3266221,47.90921958383418,3413,0,0,1,Low
4357920,41.6463334711832,4609,5,1,0,High
2965394,38.49810104903701,3116,0,0,1,Low
3943751,52.565079925868865,4106,1,0,1,Low
3680892,54.506577464306375,3842,0,0,1,Low
3768814,50.569117486863455,3939,0,0,0,Low
4877649,44.66243477487767,5093,6,2,0,High
4616464,49.18071131600807,4871,3,7,1,High
3227738,39.09067261053667,3431,0,0,1,Low
5761722,48.90154011992567,6057,3,5,0,High
4501119,52.67599864124461,4729,3,5,1,High
4287694,48.17274488243089,4560,0,0,0,Low
2547630,40.67685495169172,2728,1,1,0,Low
3306772,53.43939456410221,3482,1,0,1,Low
4299269,52.81277075170872,4493,0,0,1,Low
3126310,44.811816798817866,3257,0,0,0,Low
5263433,60.81691587718256,5566,4,1,1,High
5333359,50.712347435479636,5604,1,4,1,High
3004151,44.20271835069125,3196,2,0,0,Low
3832477,42.071019913977544,4023,2,0,1,Low
3431532,50.348930238783005,3658,3,0,1,Low
3929792,48.4788089043524,4162,0,1,1,Low
4183236,47.68880899916664,4423,0,0,1,Low
5097745,49.640420974148434,5382,2,6,1,High
3727843,51.97859548044104,3951,0,0,0,Low
2957894,60.7004809288779,3063,1,0,0,Low
2920857,37.91053740139536,3062,0,0,1,Low
4052247,44.39008558691136,4301,0,0,1,Low
4035182,55.63135453163194,4247,0,0,1,Low
3446662,54.89555610018381,3604,0,0,1,Low
2321332,44.91030881623714,2447,2,1,0,Low
3812574,50.27529394100082,3985,0,0,0,Low
3869024,52.44928466187925,4065,3,3,0,High
4070814,45.34707017858088,4303,0,0,1,Low
3114227,40.334785067202276,3305,1,0,1,Low
3260620,50.15685478528275,3444,0,0,1,Low
3015361,48.92818049607194,3133,1,0,1,Low
3531338,48.5391369774803,3686,0,1,1,Low
3344049,51.079394560891096,3488,0,0,1,Low
3103106,48.89613720879471,3270,0,0,1,Low
4411745,46.572595489384945,4665,0,0,1,Low
3522745,51.35001853927023,3757,0,0,1,Low
5009288,50.691945256026045,5289,3,1,0,High
3622105,38.873220289832524,3849,1,1,1,Low
4768815,51.289346975899754,5054,4,3,0,High
3535940,50.82863919896904,3725,1,0,1,Low
4245876,58.37632852780738,4457,2,4,1,High
3856234,49.61432992562673,4020,4,2,0,High
4842561,58.37981380562128,5091,5,3,0,High
5054304,50.27876272018143,5336,1,2,1,High
2740773,47.46456800074547,2886,0,1,1,Low
4324891,43.689116881440654,4505,0,0,1,Low
4083237,43.57955524774884,4283,3,3,1,High
3577246,45.98068446073096,3757,0,0,1,Low
4250880,51.324426706448314,4503,5,3,0,High
4395632,48.88410763885947,4642,0,0,1,Low
3476314,38.506939419923235,3665,0,0,1,Low
4471094,36.379228267606564,4678,0,0,0,Low
3824715,51.490673758313335,4012,1,0,1,Low
5203978,49.530174789133085,5513,2,4,1,High
3539388,54.323525468438724,3727,0,0,1,Low
3885558,55.83376056940806,4046,0,0,0,Low
3156860,39.40397226156208,3281,1,1,0,Low
4688592,52.96920909865539,4966,6,3,0,High
6281554,56.302629875303595,6635,4,1,0,High
2970779,33.011633895042365,3125,1,0,1,Low
4019468,51.18301544500759,4185,1,0,0,Low
3339007,48.65282225823245,3518,0,1,1,Low
3695110,51.65150787210107,3927,0,0,0,Low
4955429,45.685299192388044,5174,1,5,0,High
3740372,56.98026244467589,3972,0,0,0,Low
4317290,50.935478394765326,4565,2,6,1,High
4271301,54.51992336139014,4503,2,5,1,High
3853593,53.8751126135384,4089,1,0,1,Low
3599742,47.51431076253694,3784,0,0,0,Low
5075413,46.86968983377182,5315,1,0,1,High
2881739,52.053059986078715,3061,0,0,1,Low
2667345,46.250872134495026,2788,1,1,1,Low
5128881,51.72187085503092,5405,3,1,0,High
3409754,42.441065611798535,3638,0,0,1,Low
4173321,40.432728888886146,4388,0,0,1,Low
3473446,44.6941091787705,3619,1,2,1,Low
5171229,49.44964983169614,5401,3,7,1,High
4031166,47.56016905746265,4217,0,0,0,Low
4224926,39.44326578743294,4458,0,1,1,Low
3549409,44.61966201023397,3762,1,0,1,Low
3611117,48.46655951994648,3781,1,0,0,Low
3536808,47.174017017838295,3761,0,0,1,Low
3372948,44.02255996632081,3554,2,0,1,Low
4131371,53.26073732732372,4341,1,0,1,Low
3500110,57.90869898165146,3636,0,0,0,Low
3361227,55.747643034095276,3585,1,1,1,Low
3133367,43.98117985154483,3320,1,0,0,Low
3969837,55.45748029440078,4154,0,0,1,Low
